,date,daily_return
0,2024-01-02,0.0
1,2024-01-03,-0.0067179533905597265
2,2024-01-04,-0.002262478254800929
3,2024-01-05,0.0013712293583232912
4,2024-01-08,0.007964460872986825
5,2024-01-09,-0.004888480128772287
6,2024-01-10,0.0022770412126228265
7,2024-01-11,0.00011633060527096851
8,2024-01-12,-0.001679464781253368
9,2024-01-16,-0.005451378979908593
10,2024-01-17,-0.006319366378426407
11,2024-01-18,0.00656079871302956
12,2024-01-19,0.011395674031660533
13,2024-01-22,0.003474880805130822
14,2024-01-23,0.0015802275641537864
15,2024-01-24,-0.004257992822589404
16,2024-01-25,0.010579450672155138
17,2024-01-26,-0.004781217443845562
18,2024-01-29,0.005249902831041249
19,2024-01-30,0.0024419560852235035
20,2024-01-31,-0.009079977760652596
21,2024-02-01,0.011715677428019143
22,2024-02-02,-0.001400963322315128
23,2024-02-05,-0.0075346237062379464
24,2024-02-06,0.00703903994076992
25,2024-02-07,0.002425232886974481
26,2024-02-08,0.006117596360334492
27,2024-02-09,-0.0019684581797851162
28,2024-02-12,0.005517411602679887
29,2024-02-13,-0.011382187551948947
30,2024-02-14,0.005334643971094765
31,2024-02-15,0.009033951975898144
32,2024-02-16,-0.004373895081344867
33,2024-02-20,0.001529909145488512
34,2024-02-21,0.0001752482839790816
35,2024-02-22,0.006400714549331812
36,2024-02-23,0.0020525178657261754
37,2024-02-26,-0.0039225495925994955
38,2024-02-27,0.0004225310216312297
39,2024-02-28,-0.0007427195222923269
40,2024-02-29,0.0015579346431809824
41,2024-03-01,0.0011905211992157873
42,2024-03-04,-0.0010223536542294008
43,2024-03-05,-0.007930986405131525
44,2024-03-06,0.002243882584954335
45,2024-03-07,0.00340739036260524
46,2024-03-08,-0.0017579935689553353
47,2024-03-11,0.005858597808967169
48,2024-03-12,0.0035082799266567427
49,2024-03-13,-0.0020916934225956078
50,2024-03-14,-0.0065605488652173685
51,2024-03-15,-0.002522471924158749
52,2024-03-18,0.002315268651537301
53,2024-03-19,0.005580005872552288
54,2024-03-20,0.009555789563346358
55,2024-03-21,0.0030924319185772894
56,2024-03-22,-0.008944567297897702
57,2024-03-25,-0.0019222422641755157
58,2024-03-26,-0.0008854878173494039
59,2024-03-27,0.01671798942369002
60,2024-03-28,0.003217869406328938
61,2024-04-01,-0.00767472902182004
62,2024-04-02,-0.008083336994467432
63,2024-04-03,-0.010342074114522409
64,2024-04-04,-0.011672384540385628
65,2024-04-05,0.003466723104062398
66,2024-04-08,-0.0015932875914983983
67,2024-04-09,0.0021684384764024266
68,2024-04-10,-0.011439457418896988
69,2024-04-11,0.002027371161194361
70,2024-04-12,-0.014991055547472501
71,2024-04-15,-0.0033613857121769625
72,2024-04-16,-0.0006604367913036136
73,2024-04-17,-0.0011079831294593383
74,2024-04-18,0.00094161118227035
75,2024-04-19,0.006091384298262569
76,2024-04-22,0.005338482985733181
77,2024-04-23,0.004942934630962403
78,2024-04-24,0.000946603638054805
79,2024-04-25,-0.0036709270293005334
80,2024-04-26,-0.0045851437488778745
81,2024-04-29,0.00204358022678823
82,2024-04-30,-0.011504147812431824
83,2024-05-01,-0.0008674899273672485
84,2024-05-02,0.006261531046589332
85,2024-05-03,0.007009200866390639
86,2024-05-06,0.0038041786919557354
87,2024-05-07,-0.003356919452134332
88,2024-05-08,0.0018480160289344114
89,2024-05-09,0.005436923274474043
90,2024-05-10,0.001984205035565299
91,2024-05-13,0.002974765976685968
92,2024-05-14,0.002452800223510453
93,2024-05-15,0.004277214652321257
94,2024-05-16,0.005245919255418603
95,2024-05-17,0.001276563261665099
96,2024-05-20,-0.005822400746194566
97,2024-05-21,-0.0011497214284739374
98,2024-05-22,-0.0033216106187646524
99,2024-05-23,-0.01769631811526329
100,2024-05-24,0.0028045396587956
101,2024-05-28,-0.006929109971920396
102,2024-05-29,-0.010482762480889437
103,2024-05-30,-0.00010798914512921343
104,2024-05-31,0.01846757010077118
105,2024-06-03,-0.0022288626115725277
106,2024-06-04,0.004240965553009216
107,2024-06-05,-0.0006391705015447342
108,2024-06-06,0.002450067321271302
109,2024-06-07,0.00022870389237963023
110,2024-06-10,0.0011960280294640267
111,2024-06-11,-0.0034684828249613767
112,2024-06-12,-0.006636626688061939
113,2024-06-13,-0.0014922365436592449
114,2024-06-14,-0.0007678261865713826
115,2024-06-17,0.004967112304973288
116,2024-06-18,0.003108396236986032
117,2024-06-20,0.006563653045809426
118,2024-06-21,0.004112298995986517
119,2024-06-24,0.005333375576366074
120,2024-06-25,-0.006988894889671124
121,2024-06-26,-0.0017628751430505802
122,2024-06-27,-0.00664758788923216
123,2024-06-28,-0.01640046041860618
